m,m/s,km/h,min/km
1482.6,4.7,16.92,3.55
1487.7,1.6,5.76,10.42
1493.1,1.8,6.48,9.26
1499.1,2.1,7.56,7.94
1504.1,3.3,11.88,5.05
1509.2,3.6,12.96,4.63
1513.4,4.1,14.76,4.07
1517.0,3.6,12.96,4.63
1521.3,1.6,5.76,10.42
1524.8,1.3,4.68,12.82
1528.0,1.3,4.68,12.82
1533.7,1.8,6.48,9.26
1538.6,2.3,8.28,7.25
1543.1,3.0,10.8,5.56
1546.8,3.1,11.16,5.38
1550.5,3.2,11.52,5.21
1554.7,4.2,15.12,3.97
1560.0,4.3,15.48,3.88
1563.6,4.1,14.76,4.07
1567.6,3.4,12.24,4.9
1570.7,3.2,11.52,5.21
1575.6,2.4,8.64,6.94
1579.1,2.6,9.36,6.41
1587.2,3.9,14.04,4.27
1594.1,4.7,16.92,3.55
1601.9,5.2,18.72,3.21
1609.0,6.7,24.12,2.49
1613.3,6.8,24.48,2.45
1616.9,5.9,21.24,2.82
1620.6,5.3,19.08,3.14
1627.2,3.6,12.96,4.63
1632.9,3.2,11.52,5.21
1636.3,3.1,11.16,5.38
1640.1,3.3,11.88,5.05
1644.6,2.9,10.44,5.75
1649.2,1.8,6.48,9.26
1652.5,1.6,5.76,10.42
1655.7,1.6,5.76,10.42
1660.6,1.9,6.84,8.77
1664.1,2.3,8.28,7.25
1667.9,2.6,9.36,6.41
1671.5,3.2,11.52,5.21
1674.8,3.2,11.52,5.21
1678.3,1.4,5.04,11.9
1682.3,1.3,4.68,12.82
1685.5,1.3,4.68,12.82
1689.7,0.5,1.8,33.33
1695.3,0.6,2.16,27.78
1700.3,0.8,2.88,20.83
1703.5,2.8,10.08,5.95
1707.4,3.0,10.8,5.56
1711.2,3.2,11.52,5.21
1716.5,3.2,11.52,5.21
1721.3,2.8,10.08,5.95
1724.7,2.7,9.72,6.17
1728.0,2.8,10.08,5.95
1731.8,3.1,11.16,5.38
1735.5,3.2,11.52,5.21
1739.0,3.5,12.6,4.76
1743.4,3.7,13.32,4.5
1747.7,3.9,14.04,4.27
1751.5,3.9,14.04,4.27
1754.9,3.9,14.04,4.27
1758.8,4.0,14.4,4.17
1762.7,3.9,14.04,4.27
1766.6,3.8,13.68,4.39
1770.9,3.9,14.04,4.27
1774.7,4.0,14.4,4.17
1778.6,4.0,14.4,4.17
1781.7,3.8,13.68,4.39
1787.4,3.3,11.88,5.05
1790.7,3.2,11.52,5.21
1794.3,3.1,11.16,5.38
1797.5,3.2,11.52,5.21
1803.9,3.3,11.88,5.05
1807.2,3.3,11.88,5.05
1810.7,3.3,11.88,5.05
1813.9,3.3,11.88,5.05
1817.3,3.3,11.88,5.05
1821.0,3.4,12.24,4.9
1824.6,3.5,12.6,4.76
1828.3,3.5,12.6,4.76
1834.2,4.1,14.76,4.07
1838.8,4.3,15.48,3.88
1842.4,4.3,15.48,3.88
1845.7,4.2,15.12,3.97
1849.0,4.1,14.76,4.07
1852.3,3.6,12.96,4.63
1857.5,3.0,10.8,5.56
1862.8,2.8,10.08,5.95
1866.1,2.8,10.08,5.95
1872.7,3.0,10.8,5.56
1876.7,3.2,11.52,5.21
1880.6,3.6,12.96,4.63
1884.6,3.7,13.32,4.5
1888.1,3.7,13.32,4.5
1892.1,3.9,14.04,4.27
1896.0,3.9,14.04,4.27
1899.9,3.9,14.04,4.27
1904.1,3.9,14.04,4.27
1910.1,3.6,12.96,4.63
1913.7,3.5,12.6,4.76
1917.5,3.5,12.6,4.76
1921.5,3.5,12.6,4.76
1927.1,3.4,12.24,4.9
1933.6,3.2,11.52,5.21
1937.2,3.1,11.16,5.38
1940.2,3.1,11.16,5.38
1944.1,3.4,12.24,4.9
1948.0,3.5,12.6,4.76
1952.2,3.7,13.32,4.5
1956.6,3.9,14.04,4.27
1960.0,4.0,14.4,4.17
1963.1,3.8,13.68,4.39
1966.3,3.7,13.32,4.5
1969.8,3.5,12.6,4.76
1975.1,3.0,10.8,5.56
1980.8,2.9,10.44,5.75
1986.3,2.8,10.08,5.95
1992.0,2.8,10.08,5.95
1996.7,2.7,9.72,6.17
2002.7,2.7,9.72,6.17
2009.7,3.0,10.8,5.56
2014.1,3.5,12.6,4.76
2017.9,3.5,12.6,4.76
2022.0,3.9,14.04,4.27
2025.1,3.7,13.32,4.5
2031.0,4.3,15.48,3.88
2035.7,4.3,15.48,3.88
2040.6,4.5,16.2,3.7
2047.6,5.1,18.36,3.27
2054.1,5.8,20.88,2.87
2059.2,5.6,20.16,2.98
2064.9,4.9,17.64,3.4
2070.3,3.2,11.52,5.21
2074.5,3.1,11.16,5.38
2078.7,2.8,10.08,5.95
2082.5,2.4,8.64,6.94
2085.8,1.0,3.6,16.67
2088.9,0.5,1.8,33.33
2093.7,0.9,3.24,18.52
2096.7,1.1,3.96,15.15
2102.3,2.7,9.72,6.17
2106.1,2.9,10.44,5.75
2109.8,3.2,11.52,5.21
2113.1,3.3,11.88,5.05
2116.9,3.4,12.24,4.9
2120.4,3.6,12.96,4.63
2123.8,3.5,12.6,4.76
2127.7,3.6,12.96,4.63
2131.4,3.7,13.32,4.5
2135.0,3.6,12.96,4.63
2138.5,3.6,12.96,4.63
2142.0,3.6,12.96,4.63
2145.4,3.5,12.6,4.76
2148.5,3.4,12.24,4.9
2152.0,3.4,12.24,4.9
2155.3,3.4,12.24,4.9
2160.5,3.0,10.8,5.56
2163.7,3.0,10.8,5.56
2169.8,2.9,10.44,5.75
2173.2,3.0,10.8,5.56
2176.2,3.1,11.16,5.38
2179.5,3.2,11.52,5.21
2183.0,3.2,11.52,5.21
2186.2,3.3,11.88,5.05
2191.6,3.1,11.16,5.38
2195.0,3.1,11.16,5.38
2198.5,3.1,11.16,5.38
2204.1,3.0,10.8,5.56
2210.4,3.1,11.16,5.38
2213.6,3.0,10.8,5.56
2219.1,3.0,10.8,5.56
2225.2,3.0,10.8,5.56
2228.4,3.0,10.8,5.56
2231.8,3.0,10.8,5.56
2234.9,3.2,11.52,5.21
2239.7,2.9,10.44,5.75
2246.0,2.8,10.08,5.95
2251.1,2.7,9.72,6.17
2254.2,2.9,10.44,5.75
2257.3,2.9,10.44,5.75
2261.7,3.1,11.16,5.38
2267.0,3.5,12.6,4.76
2271.8,4.1,14.76,4.07
2276.7,4.5,16.2,3.7
2280.6,4.7,16.92,3.55
2286.1,3.8,13.68,4.39
2289.6,3.6,12.96,4.63
2293.5,3.4,12.24,4.9
2297.4,3.4,12.24,4.9
2301.8,3.5,12.6,4.76
2306.9,3.5,12.6,4.76
2311.4,2.8,10.08,5.95
2316.8,2.5,9.0,6.67
2319.9,2.6,9.36,6.41
2325.0,2.7,9.72,6.17
2330.0,2.6,9.36,6.41
2333.1,2.6,9.36,6.41
2338.9,2.8,10.08,5.95
2341.9,2.8,10.08,5.95
2345.4,3.1,11.16,5.38
2351.6,3.1,11.16,5.38
2355.6,3.3,11.88,5.05
2359.6,3.5,12.6,4.76
2364.2,3.8,13.68,4.39
2368.1,3.8,13.68,4.39
2371.8,4.0,14.4,4.17
2375.4,4.0,14.4,4.17
2379.1,3.9,14.04,4.27
2384.8,3.3,11.88,5.05
2390.6,3.0,10.8,5.56
2395.6,2.8,10.08,5.95
2401.1,2.7,9.72,6.17
2405.4,2.5,9.0,6.67
2408.6,2.2,7.92,7.58
2412.4,1.9,6.84,8.77
2417.1,1.9,6.84,8.77
2420.8,2.0,7.2,8.33
2424.9,2.1,7.56,7.94
2430.3,1.9,6.84,8.77
2434.3,2.3,8.28,7.25
2438.7,2.8,10.08,5.95
2442.9,3.0,10.8,5.56
2447.6,3.2,11.52,5.21
2452.7,4.5,16.2,3.7
2456.5,4.4,15.84,3.79
2460.5,4.4,15.84,3.79
2464.6,4.3,15.48,3.88
2469.1,4.3,15.48,3.88
2473.8,4.2,15.12,3.97
2478.1,4.3,15.48,3.88
2482.1,4.3,15.48,3.88
2486.1,4.3,15.48,3.88
2490.3,4.2,15.12,3.97
2495.0,4.2,15.12,3.97
2499.9,4.4,15.84,3.79
2504.3,4.4,15.84,3.79
2507.5,4.3,15.48,3.88
2513.0,3.6,12.96,4.63
2518.9,2.9,10.44,5.75
2522.0,2.9,10.44,5.75
