m,m/s,km/h,min/km
7146.7,4.4,15.84,3.79
7150.9,4.3,15.48,3.88
7154.9,4.2,15.12,3.97
7160.1,4.4,15.84,3.79
7165.1,4.5,16.2,3.7
7170.5,4.8,17.28,3.47
7175.2,4.9,17.64,3.4
7178.9,4.8,17.28,3.47
7183.3,4.6,16.56,3.62
7187.0,4.4,15.84,3.79
7190.4,4.0,14.4,4.17
7193.9,3.7,13.32,4.5
7197.5,3.7,13.32,4.5
7201.2,3.6,12.96,4.63
7205.2,3.6,12.96,4.63
7209.8,3.9,14.04,4.27
7213.8,4.0,14.4,4.17
7217.4,4.0,14.4,4.17
7221.0,4.0,14.4,4.17
7225.0,4.0,14.4,4.17
7228.9,3.8,13.68,4.39
7233.0,3.8,13.68,4.39
7237.3,4.0,14.4,4.17
7241.4,4.1,14.76,4.07
7245.1,4.0,14.4,4.17
7249.1,4.0,14.4,4.17
7253.4,4.1,14.76,4.07
7257.7,4.1,14.76,4.07
7262.0,4.1,14.76,4.07
7265.7,4.1,14.76,4.07
7269.2,4.0,14.4,4.17
7273.0,3.9,14.04,4.27
7277.0,3.9,14.04,4.27
7281.6,3.9,14.04,4.27
7286.8,4.2,15.12,3.97
7291.5,4.5,16.2,3.7
7296.2,4.6,16.56,3.62
7300.5,4.7,16.92,3.55
7304.7,4.6,16.56,3.62
7309.3,4.5,16.2,3.7
7313.9,4.5,16.2,3.7
7317.9,4.3,15.48,3.88
7321.5,4.2,15.12,3.97
7325.2,4.1,14.76,4.07
7329.1,4.0,14.4,4.17
7333.5,3.9,14.04,4.27
7337.7,4.0,14.4,4.17
7342.1,4.1,14.76,4.07
7346.5,4.3,15.48,3.88
7351.2,4.4,15.84,3.79
7355.8,4.5,16.2,3.7
7360.5,4.6,16.56,3.62
7365.3,4.6,16.56,3.62
7370.1,4.7,16.92,3.55
7374.2,4.6,16.56,3.62
7378.3,4.5,16.2,3.7
7383.3,4.6,16.56,3.62
7388.1,4.6,16.56,3.62
7392.1,4.4,15.84,3.79
7396.2,4.4,15.84,3.79
7400.5,4.4,15.84,3.79
7404.4,4.2,15.12,3.97
7408.1,4.0,14.4,4.17
7411.9,4.0,14.4,4.17
7416.2,4.0,14.4,4.17
7420.3,4.0,14.4,4.17
7423.8,3.9,14.04,4.27
7427.2,3.8,13.68,4.39
7432.9,3.3,11.88,5.05
7437.9,2.8,10.08,5.95
7442.4,2.5,9.0,6.67
7446.4,1.4,5.04,11.9
7449.7,0.9,3.24,18.52
7453.5,1.2,4.32,13.89
7457.2,1.4,5.04,11.9
7460.3,1.8,6.48,9.26
7463.4,1.6,5.76,10.42
7467.8,1.8,6.48,9.26
7472.0,1.9,6.84,8.77
7476.0,2.1,7.56,7.94
7480.5,2.1,7.56,7.94
7484.6,2.1,7.56,7.94
7488.9,2.1,7.56,7.94
7492.8,2.1,7.56,7.94
7497.1,2.1,7.56,7.94
7501.1,2.0,7.2,8.33
7505.8,2.2,7.92,7.58
7510.2,2.2,7.92,7.58
7514.0,2.1,7.56,7.94
7517.9,2.0,7.2,8.33
7522.1,2.0,7.2,8.33
7525.4,1.9,6.84,8.77
7529.2,1.9,6.84,8.77
7533.3,1.9,6.84,8.77
7536.5,1.9,6.84,8.77
7540.3,1.9,6.84,8.77
7544.2,1.8,6.48,9.26
7548.3,2.0,7.2,8.33
7560.4,2.3,8.28,7.25
7564.8,2.4,8.64,6.94
7569.0,2.3,8.28,7.25
7573.3,2.2,7.92,7.58
7577.1,2.1,7.56,7.94
7581.2,2.0,7.2,8.33
7586.0,1.8,6.48,9.26
7589.8,1.7,6.12,9.8
7593.7,1.8,6.48,9.26
7598.1,2.0,7.2,8.33
7602.0,2.0,7.2,8.33
7605.7,2.0,7.2,8.33
7609.4,1.9,6.84,8.77
7614.1,1.7,6.12,9.8
7618.1,1.7,6.12,9.8
7623.1,2.0,7.2,8.33
7627.0,2.6,9.36,6.41
7631.3,2.9,10.44,5.75
7635.7,3.5,12.6,4.76
7639.4,3.5,12.6,4.76
7643.3,4.0,14.4,4.17
7647.0,4.0,14.4,4.17
7650.3,3.8,13.68,4.39
7654.9,3.8,13.68,4.39
7659.7,4.1,14.76,4.07
7663.4,4.0,14.4,4.17
7667.5,4.1,14.76,4.07
7671.0,4.1,14.76,4.07
7674.4,3.9,14.04,4.27
7678.2,3.7,13.32,4.5
7682.0,3.7,13.32,4.5
7685.8,3.7,13.32,4.5
7689.4,3.7,13.32,4.5
7692.4,3.6,12.96,4.63
7698.1,3.2,11.52,5.21
7701.4,3.1,11.16,5.38
7704.9,3.1,11.16,5.38
7708.5,3.2,11.52,5.21
7712.4,3.3,11.88,5.05
7716.6,3.7,13.32,4.5
7720.9,3.9,14.04,4.27
7724.9,4.0,14.4,4.17
7728.8,4.1,14.76,4.07
7732.8,4.1,14.76,4.07
7736.6,4.0,14.4,4.17
7740.6,3.9,14.04,4.27
7744.9,4.0,14.4,4.17
7749.2,4.1,14.76,4.07
7753.4,4.1,14.76,4.07
7757.5,4.2,15.12,3.97
7761.6,4.2,15.12,3.97
7765.3,4.1,14.76,4.07
7769.2,4.0,14.4,4.17
7773.1,3.9,14.04,4.27
7777.0,3.9,14.04,4.27
7780.7,3.8,13.68,4.39
7784.3,3.8,13.68,4.39
7788.0,3.8,13.68,4.39
7791.7,3.7,13.32,4.5
7795.9,3.8,13.68,4.39
7800.2,3.9,14.04,4.27
7804.0,3.9,14.04,4.27
7807.9,4.0,14.4,4.17
7812.3,4.1,14.76,4.07
7817.0,4.2,15.12,3.97
7821.5,4.3,15.48,3.88
7825.8,4.4,15.84,3.79
7829.8,4.4,15.84,3.79
7833.8,4.3,15.48,3.88
7837.7,4.1,14.76,4.07
7841.6,4.0,14.4,4.17
7845.7,4.0,14.4,4.17
7849.7,4.0,14.4,4.17
7853.9,4.0,14.4,4.17
7858.3,4.1,14.76,4.07
7862.6,4.2,15.12,3.97
7866.8,4.2,15.12,3.97
7870.8,4.2,15.12,3.97
7874.5,4.1,14.76,4.07
7878.4,4.0,14.4,4.17
7882.3,3.9,14.04,4.27
7886.6,4.0,14.4,4.17
7891.3,4.1,14.76,4.07
7896.2,4.3,15.48,3.88
7900.7,4.5,16.2,3.7
7905.2,4.6,16.56,3.62
7909.8,4.6,16.56,3.62
7914.2,4.6,16.56,3.62
7918.7,4.5,16.2,3.7
7923.2,4.5,16.2,3.7
7927.6,4.5,16.2,3.7
7931.6,4.4,15.84,3.79
7935.8,4.3,15.48,3.88
7940.1,4.3,15.48,3.88
7944.2,4.2,15.12,3.97
7948.9,4.3,15.48,3.88
7953.8,4.4,15.84,3.79
7958.7,4.6,16.56,3.62
7963.9,4.8,17.28,3.47
7968.8,4.9,17.64,3.4
7973.6,4.9,17.64,3.4
7978.1,4.9,17.64,3.4
7981.9,4.6,16.56,3.62
7986.1,4.4,15.84,3.79
7990.6,4.4,15.84,3.79
7995.0,4.3,15.48,3.88
7999.8,4.3,15.48,3.88
8003.9,4.4,15.84,3.79
8008.1,4.4,15.84,3.79
8011.5,4.2,15.12,3.97
8017.4,3.5,12.6,4.76
8020.8,3.4,12.24,4.9
8024.5,3.3,11.88,5.05
8028.4,3.4,12.24,4.9
8032.4,3.5,12.6,4.76
8037.1,3.9,14.04,4.27
8042.0,4.2,15.12,3.97
8046.8,4.5,16.2,3.7
8051.2,4.6,16.56,3.62
8055.2,4.6,16.56,3.62
8058.7,4.3,15.48,3.88
8062.6,4.1,14.76,4.07
8066.2,3.9,14.04,4.27
8069.8,3.7,13.32,4.5
8073.3,3.6,12.96,4.63
8076.8,3.6,12.96,4.63
8080.5,3.6,12.96,4.63
8084.0,3.6,12.96,4.63
8087.6,3.6,12.96,4.63
8090.7,3.5,12.6,4.76
8094.0,3.4,12.24,4.9
8097.4,3.4,12.24,4.9
8100.6,3.3,11.88,5.05
8103.7,3.2,11.52,5.21
8106.8,3.2,11.52,5.21
8110.1,3.2,11.52,5.21
8113.4,3.2,11.52,5.21
8117.1,3.3,11.88,5.05
8120.9,3.4,12.24,4.9
8124.8,3.6,12.96,4.63
8128.9,3.8,13.68,4.39
8133.8,4.1,14.76,4.07
8138.6,4.3,15.48,3.88
8143.6,4.5,16.2,3.7
8148.4,4.7,16.92,3.55
8153.2,4.9,17.64,3.4
8157.6,4.8,17.28,3.47
8161.6,4.6,16.56,3.62
8165.1,4.3,15.48,3.88
8168.6,4.0,14.4,4.17
8172.0,3.8,13.68,4.39
8175.3,3.5,12.6,4.76
8179.0,3.5,12.6,4.76
8182.5,3.5,12.6,4.76
8186.3,3.5,12.6,4.76
8190.2,3.6,12.96,4.63
8194.5,3.8,13.68,4.39
8198.8,4.0,14.4,4.17
8203.1,4.1,14.76,4.07
8207.4,4.2,15.12,3.97
8211.9,4.3,15.48,3.88
8216.4,4.4,15.84,3.79
8221.1,4.5,16.2,3.7
8224.6,4.3,15.48,3.88
8228.3,4.2,15.12,3.97
8231.8,4.0,14.4,4.17
8235.5,3.8,13.68,4.39
8239.4,3.7,13.32,4.5
8244.0,3.9,14.04,4.27
8248.4,4.0,14.4,4.17
8252.5,4.1,14.76,4.07
8256.8,4.3,15.48,3.88
8260.8,4.3,15.48,3.88
8265.0,4.2,15.12,3.97
8268.9,4.1,14.76,4.07
8272.6,4.0,14.4,4.17
8276.4,3.9,14.04,4.27
8280.4,3.9,14.04,4.27
8283.9,3.8,13.68,4.39
8287.9,3.8,13.68,4.39
8292.3,3.9,14.04,4.27
8296.8,4.1,14.76,4.07
8301.8,4.3,15.48,3.88
8305.7,4.4,15.84,3.79
8309.5,4.3,15.48,3.88
8313.3,4.2,15.12,3.97
8316.5,3.9,14.04,4.27
8322.8,3.4,12.24,4.9
8326.3,3.4,12.24,4.9
8329.9,3.3,11.88,5.05
8334.0,3.5,12.6,4.76
8337.9,3.6,12.96,4.63
8342.1,3.9,14.04,4.27
8346.0,3.9,14.04,4.27
8349.8,4.0,14.4,4.17
8353.8,4.0,14.4,4.17
8358.0,4.0,14.4,4.17
8362.0,4.0,14.4,4.17
8365.8,4.0,14.4,4.17
8369.1,3.9,14.04,4.27
8372.6,3.8,13.68,4.39
8376.5,3.7,13.32,4.5
8380.1,3.6,12.96,4.63
8383.9,3.6,12.96,4.63
8387.9,3.8,13.68,4.39
8391.9,3.9,14.04,4.27
8396.5,4.0,14.4,4.17
8401.4,4.3,15.48,3.88
8406.5,4.5,16.2,3.7
8411.4,4.7,16.92,3.55
8416.4,4.9,17.64,3.4
8421.2,4.9,17.64,3.4
8426.1,4.9,17.64,3.4
8430.2,4.7,16.92,3.55
8434.0,4.5,16.2,3.7
8438.4,4.4,15.84,3.79
8442.4,4.2,15.12,3.97
8446.2,4.0,14.4,4.17
8449.7,3.9,14.04,4.27
8453.4,3.9,14.04,4.27
8457.5,3.8,13.68,4.39
8461.6,3.8,13.68,4.39
8466.1,4.0,14.4,4.17
8470.6,4.2,15.12,3.97
8474.7,4.3,15.48,3.88
8478.3,4.2,15.12,3.97
8483.1,4.3,15.48,3.88
8487.6,4.3,15.48,3.88
8492.0,4.3,15.48,3.88
8496.2,4.3,15.48,3.88
8500.7,4.5,16.2,3.7
8505.5,4.5,16.2,3.7
8509.8,4.4,15.84,3.79
8513.7,4.3,15.48,3.88
8517.6,4.3,15.48,3.88
8521.6,4.2,15.12,3.97
8525.4,4.0,14.4,4.17
8529.4,3.9,14.04,4.27
8533.3,3.9,14.04,4.27
8537.4,4.0,14.4,4.17
8541.6,4.0,14.4,4.17
8545.6,4.0,14.4,4.17
8549.2,4.0,14.4,4.17
8553.2,4.0,14.4,4.17
8557.3,4.0,14.4,4.17
8560.8,3.8,13.68,4.39
8565.9,3.3,11.88,5.05
8569.0,2.3,8.28,7.25
8573.1,2.1,7.56,7.94
8576.6,1.8,6.48,9.26
8580.5,1.5,5.4,11.11
8584.4,1.3,4.68,12.82
8588.9,1.4,5.04,11.9
8592.2,1.6,5.76,10.42
8595.8,1.6,5.76,10.42
8599.2,1.7,6.12,9.8
8602.8,1.8,6.48,9.26
8607.0,1.6,5.76,10.42
8611.2,1.4,5.04,11.9
8615.5,1.4,5.04,11.9
8618.8,1.5,5.4,11.11
8622.7,1.6,5.76,10.42
8626.5,1.8,6.48,9.26
8630.2,1.9,6.84,8.77
8633.8,1.8,6.48,9.26
8637.1,1.4,5.04,11.9
8640.9,0.9,3.24,18.52
8644.0,1.0,3.6,16.67
8647.0,1.1,3.96,15.15
8650.9,1.4,5.04,11.9
8654.2,1.4,5.04,11.9
8658.1,1.4,5.04,11.9
8661.1,1.1,3.96,15.15
8664.9,1.1,3.96,15.15
8668.5,1.2,4.32,13.89
8672.3,0.9,3.24,18.52
8676.1,1.1,3.96,15.15
8680.8,1.4,5.04,11.9
8685.4,2.2,7.92,7.58
8689.6,2.3,8.28,7.25
8693.5,2.1,7.56,7.94
8697.5,2.0,7.2,8.33
8701.1,1.9,6.84,8.77
8705.0,1.9,6.84,8.77
8709.3,2.0,7.2,8.33
8714.7,2.3,8.28,7.25
8719.8,2.5,9.0,6.67
8725.1,2.6,9.36,6.41
8729.8,2.5,9.0,6.67
8733.3,2.3,8.28,7.25
8736.3,1.9,6.84,8.77
8741.3,1.9,6.84,8.77
8745.6,2.5,9.0,6.67
8750.5,2.9,10.44,5.75
8755.1,3.8,13.68,4.39
8759.3,3.8,13.68,4.39
8763.5,4.4,15.84,3.79
8768.0,4.5,16.2,3.7
8772.1,4.3,15.48,3.88
8776.3,4.2,15.12,3.97
8780.2,4.2,15.12,3.97
8784.0,4.1,14.76,4.07
8787.9,4.0,14.4,4.17
8791.8,3.9,14.04,4.27
8795.6,3.9,14.04,4.27
8799.3,3.8,13.68,4.39
8803.1,3.8,13.68,4.39
8807.2,3.9,14.04,4.27
8811.2,3.9,14.04,4.27
8815.2,3.9,14.04,4.27
8818.9,3.9,14.04,4.27
8822.6,3.9,14.04,4.27
8826.3,3.8,13.68,4.39
8830.2,3.8,13.68,4.39
8834.3,3.8,13.68,4.39
8838.0,3.8,13.68,4.39
8842.0,3.9,14.04,4.27
8845.9,3.9,14.04,4.27
8849.6,3.9,14.04,4.27
8853.4,3.8,13.68,4.39
8857.3,3.9,14.04,4.27
8861.4,3.9,14.04,4.27
8865.7,4.0,14.4,4.17
8870.1,4.1,14.76,4.07
8874.6,4.2,15.12,3.97
8878.8,4.3,15.48,3.88
8882.9,4.3,15.48,3.88
8887.6,4.4,15.84,3.79
8891.4,4.3,15.48,3.88
8895.2,4.1,14.76,4.07
8898.9,4.0,14.4,4.17
8902.5,3.9,14.04,4.27
8906.2,3.7,13.32,4.5
8909.9,3.7,13.32,4.5
8913.7,3.7,13.32,4.5
8917.6,3.7,13.32,4.5
8921.8,3.9,14.04,4.27
8925.9,3.9,14.04,4.27
8930.1,4.0,14.4,4.17
8934.1,4.1,14.76,4.07
8938.1,4.1,14.76,4.07
8942.0,4.0,14.4,4.17
8946.1,4.0,14.4,4.17
8950.4,4.1,14.76,4.07
8954.6,4.1,14.76,4.07
8958.9,4.2,15.12,3.97
8963.2,4.2,15.12,3.97
8967.4,4.3,15.48,3.88
8971.5,4.2,15.12,3.97
8975.3,4.1,14.76,4.07
8979.2,4.1,14.76,4.07
8983.3,4.0,14.4,4.17
8987.6,4.0,14.4,4.17
8991.8,4.1,14.76,4.07
8996.0,4.1,14.76,4.07
9000.3,4.2,15.12,3.97
9004.8,4.3,15.48,3.88
9009.1,4.3,15.48,3.88
9013.7,4.4,15.84,3.79
9017.9,4.4,15.84,3.79
9022.2,4.4,15.84,3.79
9026.5,4.3,15.48,3.88
9030.9,4.4,15.84,3.79
9035.4,4.3,15.48,3.88
9040.1,4.4,15.84,3.79
9044.6,4.5,16.2,3.7
9049.1,4.5,16.2,3.7
9053.6,4.5,16.2,3.7
9058.1,4.5,16.2,3.7
9062.5,4.5,16.2,3.7
9066.5,4.4,15.84,3.79
9070.7,4.3,15.48,3.88
9074.9,4.3,15.48,3.88
9079.4,4.3,15.48,3.88
9084.0,4.3,15.48,3.88
9088.7,4.4,15.84,3.79
9092.6,4.4,15.84,3.79
9096.2,4.3,15.48,3.88
9100.7,4.3,15.48,3.88
9105.7,4.3,15.48,3.88
9110.1,4.3,15.48,3.88
9114.3,4.3,15.48,3.88
9118.3,4.4,15.84,3.79
9121.8,4.2,15.12,3.97
9125.2,3.9,14.04,4.27
9128.4,3.7,13.32,4.5
9133.8,3.1,11.16,5.38
9136.9,3.0,10.8,5.56
9140.4,3.0,10.8,5.56
9144.2,3.2,11.52,5.21
9147.8,3.2,11.52,5.21
9151.7,3.6,12.96,4.63
9155.5,3.7,13.32,4.5
9159.1,3.7,13.32,4.5
9162.6,3.7,13.32,4.5
9166.0,3.6,12.96,4.63
9169.8,3.6,12.96,4.63
9173.1,3.5,12.6,4.76
9176.3,3.4,12.24,4.9
9179.4,3.4,12.24,4.9
9182.5,3.3,11.88,5.05
9186.0,3.2,11.52,5.21
9189.2,3.2,11.52,5.21
9192.4,3.2,11.52,5.21
9195.8,3.3,11.88,5.05
9199.8,3.5,12.6,4.76
9203.7,3.5,12.6,4.76
9207.2,3.6,12.96,4.63
9210.4,3.6,12.96,4.63
9213.8,3.6,12.96,4.63
9217.6,3.6,12.96,4.63
9221.6,3.6,12.96,4.63
9225.7,3.7,13.32,4.5
9230.2,4.0,14.4,4.17
9234.8,4.2,15.12,3.97
9239.1,4.3,15.48,3.88
9243.4,4.4,15.84,3.79
9247.9,4.4,15.84,3.79
9251.9,4.3,15.48,3.88
9256.1,4.3,15.48,3.88
9260.3,4.2,15.12,3.97
9264.4,4.2,15.12,3.97
9268.0,4.0,14.4,4.17
9271.1,3.8,13.68,4.39
9274.7,3.7,13.32,4.5
9278.3,3.6,12.96,4.63
9282.3,3.6,12.96,4.63
9286.5,3.7,13.32,4.5
9290.3,3.8,13.68,4.39
9294.3,3.9,14.04,4.27
9299.2,4.2,15.12,3.97
9303.7,4.3,15.48,3.88
9307.6,4.2,15.12,3.97
9311.0,4.1,14.76,4.07
9315.7,4.3,15.48,3.88
9320.3,4.2,15.12,3.97
9324.4,4.1,14.76,4.07
9329.1,4.3,15.48,3.88
9333.6,4.5,16.2,3.7
9338.0,4.5,16.2,3.7
9342.0,4.3,15.48,3.88
9346.3,4.4,15.84,3.79
9350.5,4.3,15.48,3.88
9354.3,4.1,14.76,4.07
9358.2,4.0,14.4,4.17
9362.4,4.1,14.76,4.07
9366.8,4.1,14.76,4.07
9371.0,4.1,14.76,4.07
9375.3,4.2,15.12,3.97
9379.4,4.2,15.12,3.97
9383.4,4.2,15.12,3.97
9387.4,4.1,14.76,4.07
9391.6,4.1,14.76,4.07
9395.5,4.0,14.4,4.17
9400.0,4.1,14.76,4.07
9404.7,4.3,15.48,3.88
9410.3,4.6,16.56,3.62
9415.0,4.7,16.92,3.55
9418.8,4.7,16.92,3.55
9422.5,4.5,16.2,3.7
9426.3,4.3,15.48,3.88
9429.5,3.8,13.68,4.39
9432.7,3.5,12.6,4.76
9436.1,3.5,12.6,4.76
9440.4,3.6,12.96,4.63
9444.5,3.6,12.96,4.63
9448.4,3.8,13.68,4.39
9452.5,4.0,14.4,4.17
9456.7,4.1,14.76,4.07
9461.0,4.1,14.76,4.07
9465.2,4.1,14.76,4.07
9468.9,4.1,14.76,4.07
9472.5,4.0,14.4,4.17
9476.2,3.9,14.04,4.27
9480.0,3.8,13.68,4.39
9483.8,3.7,13.32,4.5
9487.7,3.8,13.68,4.39
9491.8,3.9,14.04,4.27
9495.7,3.9,14.04,4.27
9499.6,3.9,14.04,4.27
9504.1,4.1,14.76,4.07
9509.0,4.3,15.48,3.88
9513.8,4.4,15.84,3.79
9518.4,4.5,16.2,3.7
9523.1,4.7,16.92,3.55
9528.1,4.8,17.28,3.47
9533.2,4.8,17.28,3.47
9537.7,4.8,17.28,3.47
9542.5,4.8,17.28,3.47
9546.9,4.8,17.28,3.47
9551.1,4.6,16.56,3.62
9555.1,4.4,15.84,3.79
9558.9,4.2,15.12,3.97
9562.4,4.0,14.4,4.17
9565.8,3.8,13.68,4.39
9569.4,3.7,13.32,4.5
9573.5,3.7,13.32,4.5
9577.8,3.8,13.68,4.39
9582.1,3.9,14.04,4.27
9586.3,4.1,14.76,4.07
9590.6,4.2,15.12,3.97
9594.9,4.3,15.48,3.88
9599.3,4.3,15.48,3.88
9603.4,4.3,15.48,3.88
9607.5,4.2,15.12,3.97
9612.0,4.3,15.48,3.88
9616.4,4.3,15.48,3.88
9620.9,4.3,15.48,3.88
9625.0,4.3,15.48,3.88
9628.9,4.3,15.48,3.88
9632.8,4.2,15.12,3.97
9637.2,4.2,15.12,3.97
9640.9,4.0,14.4,4.17
9644.3,3.9,14.04,4.27
9648.2,3.9,14.04,4.27
9652.1,3.9,14.04,4.27
9655.2,3.6,12.96,4.63
9658.3,3.5,12.6,4.76
9661.9,3.5,12.6,4.76
9665.4,3.4,12.24,4.9
9670.7,3.1,11.16,5.38
9674.6,1.8,6.48,9.26
9678.6,0.9,3.24,18.52
9682.4,0.8,2.88,20.83
9686.0,1.1,3.96,15.15
9689.8,1.5,5.4,11.11
9694.4,1.0,3.6,16.67
9700.2,1.3,4.68,12.82
9706.1,1.6,5.76,10.42
9709.2,3.0,10.8,5.56
9713.9,2.7,9.72,6.17
9718.9,2.6,9.36,6.41
9723.6,2.4,8.64,6.94
9728.2,2.4,8.64,6.94
9733.1,2.4,8.64,6.94
9738.1,2.4,8.64,6.94
9743.4,2.5,9.0,6.67
9748.6,2.6,9.36,6.41
9753.9,2.6,9.36,6.41
9759.0,2.6,9.36,6.41
9763.6,2.5,9.0,6.67
9768.4,2.4,8.64,6.94
9772.7,2.3,8.28,7.25
9778.1,2.4,8.64,6.94
9783.7,2.6,9.36,6.41
9786.9,2.8,10.08,5.95
9790.3,2.9,10.44,5.75
9793.4,3.1,11.16,5.38
9798.4,2.9,10.44,5.75
9803.5,2.6,9.36,6.41
9808.3,2.5,9.0,6.67
9813.8,2.6,9.36,6.41
9816.8,2.7,9.72,6.17
9820.2,2.8,10.08,5.95
9823.3,3.0,10.8,5.56
9826.4,3.0,10.8,5.56
9830.0,3.2,11.52,5.21
9835.7,3.1,11.16,5.38
9840.6,2.8,10.08,5.95
9845.4,2.6,9.36,6.41
9850.4,2.4,8.64,6.94
9855.3,2.4,8.64,6.94
9860.7,2.6,9.36,6.41
9865.2,2.5,9.0,6.67
9870.2,2.5,9.0,6.67
9875.5,2.5,9.0,6.67
9881.3,2.7,9.72,6.17
9886.1,2.6,9.36,6.41
9890.6,2.5,9.0,6.67
9895.8,2.4,8.64,6.94
9901.2,2.5,9.0,6.67
9906.2,2.6,9.36,6.41
9909.9,2.4,8.64,6.94
9913.5,2.0,7.2,8.33
9918.2,2.0,7.2,8.33
9923.0,2.2,7.92,7.58
9928.1,2.4,8.64,6.94
9933.8,2.6,9.36,6.41
9939.6,2.8,10.08,5.95
9942.8,2.9,10.44,5.75
9946.0,3.0,10.8,5.56
9949.4,3.1,11.16,5.38
9953.1,3.2,11.52,5.21
9956.5,3.4,12.24,4.9
9959.8,3.4,12.24,4.9
9966.0,3.3,11.88,5.05
9969.4,3.3,11.88,5.05
9972.7,3.2,11.52,5.21
9975.9,3.2,11.52,5.21
9982.0,3.2,11.52,5.21
9987.5,3.0,10.8,5.56
9992.6,2.8,10.08,5.95
9997.9,2.6,9.36,6.41
10003.2,2.6,9.36,6.41
10008.0,2.6,9.36,6.41
10013.0,2.5,9.0,6.67
10018.1,2.5,9.0,6.67
10023.0,2.5,9.0,6.67
10028.6,2.6,9.36,6.41
10034.3,2.7,9.72,6.17
10037.5,2.9,10.44,5.75
10040.8,3.0,10.8,5.56
10044.1,3.1,11.16,5.38
10049.7,3.1,11.16,5.38
10055.3,2.9,10.44,5.75
10061.1,2.8,10.08,5.95
10064.2,2.9,10.44,5.75
10067.3,2.9,10.44,5.75
10070.5,3.0,10.8,5.56
10076.0,3.0,10.8,5.56
10080.8,2.7,9.72,6.17
10083.9,2.7,9.72,6.17
10087.1,2.8,10.08,5.95
10090.4,2.9,10.44,5.75
10093.5,2.9,10.44,5.75
10096.9,3.2,11.52,5.21
10100.4,3.3,11.88,5.05
10104.0,3.4,12.24,4.9
10107.6,3.4,12.24,4.9
10111.5,3.6,12.96,4.63
10115.0,3.6,12.96,4.63
10118.1,3.5,12.6,4.76
10121.5,3.5,12.6,4.76
10124.8,3.4,12.24,4.9
10128.4,3.4,12.24,4.9
10131.8,3.4,12.24,4.9
10135.3,3.4,12.24,4.9
10138.6,3.4,12.24,4.9
10142.5,3.5,12.6,4.76
10146.1,3.5,12.6,4.76
10149.8,3.6,12.96,4.63
10153.4,3.6,12.96,4.63
10156.6,3.6,12.96,4.63
10159.9,3.5,12.6,4.76
10165.8,3.2,11.52,5.21
10169.1,3.1,11.16,5.38
10175.0,3.0,10.8,5.56
10179.8,2.8,10.08,5.95
10185.9,2.8,10.08,5.95
10189.1,2.8,10.08,5.95
10192.2,2.9,10.44,5.75
10195.6,3.2,11.52,5.21
10199.6,3.3,11.88,5.05
10203.0,3.4,12.24,4.9
10208.8,3.3,11.88,5.05
10211.8,3.2,11.52,5.21
10214.9,3.1,11.16,5.38
10217.9,3.0,10.8,5.56
10223.8,3.0,10.8,5.56
10229.4,2.9,10.44,5.75
10235.3,2.9,10.44,5.75
10241.1,2.9,10.44,5.75
10245.9,2.8,10.08,5.95
10251.4,2.7,9.72,6.17
10257.2,2.7,9.72,6.17
10260.3,2.9,10.44,5.75
10263.7,3.0,10.8,5.56
10267.2,3.2,11.52,5.21
10270.4,3.2,11.52,5.21
10276.2,3.2,11.52,5.21
10281.5,2.9,10.44,5.75
10286.3,2.6,9.36,6.41
10291.1,2.5,9.0,6.67
10295.5,2.3,8.28,7.25
10300.3,2.3,8.28,7.25
10305.6,2.4,8.64,6.94
10311.3,2.6,9.36,6.41
10317.1,2.8,10.08,5.95
10322.2,2.8,10.08,5.95
10326.6,2.6,9.36,6.41
10331.7,2.4,8.64,6.94
10337.7,2.6,9.36,6.41
10340.9,2.9,10.44,5.75
10346.5,3.0,10.8,5.56
10351.5,2.8,10.08,5.95
10357.6,2.8,10.08,5.95
10360.8,2.9,10.44,5.75
10363.9,2.9,10.44,5.75
10366.9,3.1,11.16,5.38
10372.5,3.0,10.8,5.56
10377.8,2.8,10.08,5.95
10381.0,2.4,8.64,6.94
10384.8,0.9,3.24,18.52
10388.1,0.8,2.88,20.83
10391.2,1.3,4.68,12.82
10398.1,0.8,2.88,20.83
10401.1,0.4,1.44,41.67
10406.8,0.3,1.08,55.56
10411.2,0.7,2.52,23.81
10416.3,1.0,3.6,16.67
10421.2,1.3,4.68,12.82
10425.9,1.5,5.4,11.11
10430.8,1.5,5.4,11.11
10435.8,4.9,17.64,3.4
10441.0,4.9,17.64,3.4
10446.0,5.0,18.0,3.33
10450.7,5.0,18.0,3.33
10455.0,4.8,17.28,3.47
10459.3,4.7,16.92,3.55
10463.6,4.5,16.2,3.7
10468.1,4.4,15.84,3.79
10472.8,4.4,15.84,3.79
10477.5,4.5,16.2,3.7
10482.3,4.6,16.56,3.62
10486.7,4.6,16.56,3.62
10491.4,4.7,16.92,3.55
10496.6,4.8,17.28,3.47
10501.8,4.9,17.64,3.4
10506.5,4.8,17.28,3.47
10511.1,4.9,17.64,3.4
10515.3,4.8,17.28,3.47
10519.5,4.6,16.56,3.62
10524.5,4.5,16.2,3.7
10530.1,4.7,16.92,3.55
10534.5,4.7,16.92,3.55
10538.9,4.7,16.92,3.55
10543.4,4.8,17.28,3.47
10547.7,4.6,16.56,3.62
10551.8,4.3,15.48,3.88
10555.9,4.3,15.48,3.88
10560.2,4.3,15.48,3.88
10564.5,4.2,15.12,3.97
10568.6,4.2,15.12,3.97
10572.3,4.1,14.76,4.07
