Nr,Destination,Prefix,Zone,Mobile,Cost
3812,"Bulgaria, fixed alternative networks",359845,2,,0.20
3813,"Bulgaria, fixed alternative networks",35984759,2,,0.20
3814,"Bulgaria, fixed alternative networks",35984773,2,,0.20
3815,"Bulgaria, fixed alternative networks",3598489,2,,0.20
3816,"Bulgaria, fixed alternative networks",35986368,2,,0.20
3817,"Bulgaria, fixed alternative networks",35986369,2,,0.20
3818,"Bulgaria, fixed alternative networks",3598649,2,,0.20
3819,"Bulgaria, fixed alternative networks",359865,2,,0.20
3820,"Bulgaria, fixed alternative networks",35986639,2,,0.20
3821,"Bulgaria, fixed alternative networks",3598669,2,,0.20
3822,"Bulgaria, mobile BTC",35987,2,1,0.40
3823,"Bulgaria, mobile Mobiltel",35988,2,1,0.40
3824,"Bulgaria, Special Services",3598815,7,,0.06
3825,"Bulgaria, Special Services",3598829,7,,0.06
3826,"Bulgaria, mobile Globul",35989,2,1,0.40
3827,"Bulgaria, Special Services",35990,7,,0.06
3828,"Bulgaria, fixed alternative networks",3599105,2,,0.20
3829,"Bulgaria, fixed alternative networks",3599123,2,,0.20
3830,"Bulgaria, fixed alternative networks",3599132,2,,0.20
3831,"Bulgaria, fixed alternative networks",3599159,2,,0.20
3832,"Bulgaria, fixed alternative networks",3599171,2,,0.20
3833,"Bulgaria, fixed alternative networks",359929,2,,0.20
3834,"Bulgaria, fixed alternative networks",3599369,2,,0.20
3835,"Bulgaria, fixed alternative networks",3599389,2,,0.20
3836,"Bulgaria, fixed alternative networks",359949,2,,0.20
3837,"Bulgaria, fixed alternative networks",3599527,2,,0.20
3838,"Bulgaria, fixed alternative networks",3599539,2,,0.20
3839,"Bulgaria, fixed alternative networks",35995549,2,,0.20
3840,"Bulgaria, fixed alternative networks",359965,2,,0.20
3841,"Bulgaria, fixed alternative networks",3599717,2,,0.20
3842,"Bulgaria, fixed alternative networks",3599718,2,,0.20
3843,"Bulgaria, fixed alternative networks",3599735,2,,0.20
3844,"Bulgaria, fixed alternative networks",3599739,2,,0.20
3845,"Bulgaria, fixed alternative networks",35997429,2,,0.20
3846,"Bulgaria, mobile",35998,2,1,0.40
3847,"Bulgaria, mobile Mobiltel",359988,2,1,0.40
3848,"Bulgaria, mobile Mobiltel",359989,2,1,0.40
3849,"Bulgaria, mobile Maxtel",35999,2,1,0.40
3850,Hungary,36,1,,0.05
3851,"Hungary, Budapest",361,1,,0.05
3852,"Hungary, mobile",3620,1,1,0.25
3853,"Hungary, mobile",3630,1,1,0.25
3854,"Hungary, mobile",3631,1,1,0.25
3855,"Hungary, mobile",3670,1,1,0.25
3856,Lithuania,370,2,,0.20
3857,"Lithuania, Special Services",37037250,7,,0.43
3858,"Lithuania, Special Services",37037251,7,,0.43
3859,"Lithuania, Special Services",37037252,7,,0.43
3860,"Lithuania, Special Services",37037368,7,,0.43
3861,"Lithuania, Special Services",37037369,7,,0.43
3862,"Lithuania, Special Services",370521939,7,,0.43
3863,"Lithuania, Special Services",370521940,7,,0.43
3864,"Lithuania, Special Services",370521941,7,,0.43
3865,"Lithuania, Special Services",37052528,7,,0.43
